legacy_id,sources,in_main_source,in_clean_bundle,coverage_status
a59d0ac7,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Prestataires|Tarifs,true,true,in_clean_bundle
a626b82d,Berta 2.0 - Berta 2.0 (3).csv|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
a6989044,Prestataires,false,false,missing_from_main_source
a6ce3e91,Berta 2.0 - Berta 2.0 (3).csv|CRM|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
a6fd5816,Berta 2.0 - Berta 2.0 (3).csv|CRM|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
a7ac4b90,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
a7dc804c,Berta 2.0 - Berta 2.0 (3).csv|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
a7e5176b,CRM|Prestataires|Tarifs,false,false,missing_from_main_source
a80daa2c,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
a846b219,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Prestataires|Tarifs,true,true,in_clean_bundle
a9a2f996,Berta 2.0 - Berta 2.0 (3).csv|CRM|Horaires|Prestataires,true,true,in_clean_bundle
aa1c6110,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Prestataires|Tarifs,true,true,in_clean_bundle
aae3ae86,Berta 2.0 - Berta 2.0 (3).csv|Prestataires|Tarifs,true,true,in_clean_bundle
ab33784f,Prestataires,false,false,missing_from_main_source
ad15bd02,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Prestataires|Tarifs,true,true,in_clean_bundle
ad68cb5d,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
ad7f596b,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
ae04e116,Berta 2.0 - Berta 2.0 (3).csv|CRM|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
ae3bc50f,Berta 2.0 - Berta 2.0 (3).csv|Contacts sup|Galerie|Horaires|Prestataires,true,true,in_clean_bundle
ae555722,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
af78e6d7,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
