import_batch_id,staging_object_key,kind_code,unit_code,amount,currency,conditions,source,source_sheet,raw_source_data,resolution_status,is_approved
old-data-berta2-all-20260501-01,recF7jALDXSn1wIxA,adulte,par_sejour,200.00,EUR,À partir de | 4 pers plus 20€ linge de maison | week-end,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""d01ae9bc"",""Object_id"":""recF7jALDXSn1wIxA"",""Description"":""4 pers plus 20€ linge de maison"",""Tarif Montant"":""200"",""Tarif libellé"":""week-end"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recF7jALDXSn1wIxA,adulte,par_nuit,120.00,EUR,À partir de | 4 pers plus 20€ linge de maison | nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""d338118f"",""Object_id"":""recF7jALDXSn1wIxA"",""Description"":""4 pers plus 20€ linge de maison"",""Tarif Montant"":""120"",""Tarif libellé"":""nuit"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,rec3Z4Wn2JbHxb2lU,adulte,par_nuit,85.00,EUR,chambre double/nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""1845922f"",""Object_id"":""rec3Z4Wn2JbHxb2lU"",""Description"":"""",""Tarif Montant"":""85"",""Tarif libellé"":""chambre double/nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recMNd8ISYzDXc7iM,adulte,par_nuit,120.00,EUR,À partir de | à partir de 2 nuits | nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""cc2f4784"",""Object_id"":""recMNd8ISYzDXc7iM"",""Description"":""à partir de 2 nuits"",""Tarif Montant"":""120"",""Tarif libellé"":""nuit"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recCSnhcZo4XxocjX,adulte,par_personne,55.00,EUR,pers.,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""49c9ad91"",""Object_id"":""recCSnhcZo4XxocjX"",""Description"":"""",""Tarif Montant"":""55"",""Tarif libellé"":""pers."",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recuzXY9up4hotU42,adulte,par_personne,1.00,EUR,À partir de | pers.,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""a7451634"",""Object_id"":""recuzXY9up4hotU42"",""Description"":"""",""Tarif Montant"":""1"",""Tarif libellé"":""pers."",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recvzvSRCc069iAhQ,adulte,,4.00,EUR,produit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""a70a6aec"",""Object_id"":""recvzvSRCc069iAhQ"",""Description"":"""",""Tarif Montant"":""4"",""Tarif libellé"":""produit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,f28b7b1d,adulte,par_nuit,85.00,EUR,à partir de 2 nuits | bungalow/nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""5a414a6a"",""Object_id"":""f28b7b1d"",""Description"":""à partir de 2 nuits"",""Tarif Montant"":""85"",""Tarif libellé"":""bungalow/nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recOk422JMgj9tU8L,adulte,par_nuit,80.00,EUR,studio/nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""2aa20785"",""Object_id"":""recOk422JMgj9tU8L"",""Description"":"""",""Tarif Montant"":""80"",""Tarif libellé"":""studio/nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,b9c7c5bf-f519-4d73-aad8-bb19cd0230bd,adulte,,4.00,EUR,produit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""a1e986c5"",""Object_id"":""b9c7c5bf-f519-4d73-aad8-bb19cd0230bd"",""Description"":"""",""Tarif Montant"":""4"",""Tarif libellé"":""produit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
