import_batch_id,staging_object_key,action_id,note,source_sheet,raw_source_data,resolution_status,is_approved
old-data-berta2-all-20260501-01,022C4A9B1C,MA_LOCAL_SUPPLIER_LIST,Le restaurant du Dimitile souhaite promouvoir le savoir-faire et l’agriculture de l’île en privilégiant les fruits et légumes locaux et de saison. Les maraîchers sont sélectionnés pour la qualité de leurs produits et l’utilisation limitée de pesticides dans leurs exploitations.,D_Durable,"{""ID_D_D"":""1ca44c32"",""Object_id"":""022C4A9B1C"",""Type_D_D"":""Produits en circuit court"",""Commentaire"":""Le restaurant du Dimitile souhaite promouvoir le savoir-faire et l’agriculture de l’île en privilégiant les fruits et légumes locaux et de saison. Les maraîchers sont sélectionnés pour la qualité de leurs produits et l’utilisation limitée de pesticides dans leurs exploitations."",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,rec5vqdPwSdrFzsvs,,"Les bâtiments du Dimitile ont été conçu en intégrant les grands principes bioclimatiques : orientation des édifices, utilisation de voiles d’ombrages ou dimensionnement des débords de toit pour gérer au mieux les apports solaires en les favorisant lors de la saison fraîche et en s’en protégeant lors de la saison chaude.",D_Durable,"{""ID_D_D"":""84c40691"",""Object_id"":""rec5vqdPwSdrFzsvs"",""Type_D_D"":""Construction bioclimatique"",""Commentaire"":""Les bâtiments du Dimitile ont été conçu en intégrant les grands principes bioclimatiques : orientation des édifices, utilisation de voiles d’ombrages ou dimensionnement des débords de toit pour gérer au mieux les apports solaires en les favorisant lors de la saison fraîche et en s’en protégeant lors de la saison chaude."",""source_system"":""berta_v2_csv_export""}",rejected,false
old-data-berta2-all-20260501-01,rec5vqdPwSdrFzsvs,,Formation du personnel aux pratiques écoresponsables (formation obligatoire démarche éco responsable dans une entreprise).,D_Durable,"{""ID_D_D"":""9dc593d0"",""Object_id"":""rec5vqdPwSdrFzsvs"",""Type_D_D"":""Sensibilisation du personnel"",""Commentaire"":""Formation du personnel aux pratiques écoresponsables (formation obligatoire démarche éco responsable dans une entreprise)."",""source_system"":""berta_v2_csv_export""}",rejected,false
old-data-berta2-all-20260501-01,rec5vqdPwSdrFzsvs,,"Le groupe AMANTA, dont fait partie Le Dimitile, est membre du mouvement 1% pour la planète et reverse ainsi 1% de son chiffre d’affaires à des fins environnementales.",D_Durable,"{""ID_D_D"":""341fee0c"",""Object_id"":""rec5vqdPwSdrFzsvs"",""Type_D_D"":""Soutien associatif"",""Commentaire"":""Le groupe AMANTA, dont fait partie Le Dimitile, est membre du mouvement 1% pour la planète et reverse ainsi 1% de son chiffre d’affaires à des fins environnementales."",""source_system"":""berta_v2_csv_export""}",rejected,false
old-data-berta2-all-20260501-01,022C4A9B1C,,"Le groupe AMANTA, dont fait partie Le Dimitile, est membre du mouvement 1% pour la planète et reverse ainsi 1% de son chiffre d’affaires à des fins environnementales.",D_Durable,"{""ID_D_D"":""bad6635c"",""Object_id"":""022C4A9B1C"",""Type_D_D"":""Soutien associatif"",""Commentaire"":""Le groupe AMANTA, dont fait partie Le Dimitile, est membre du mouvement 1% pour la planète et reverse ainsi 1% de son chiffre d’affaires à des fins environnementales."",""source_system"":""berta_v2_csv_export""}",rejected,false
old-data-berta2-all-20260501-01,97c59f68,MA_WATER_READING,L’hôtel utilise des équipements sanitaires économes en eau et une couverture automatique pour la piscine afin de limiter les pertes thermiques et l’évaporation. Le chauffage de la piscine est assuré par une pompe à chaleur.,D_Durable,"{""ID_D_D"":""795cf17d"",""Object_id"":""97c59f68"",""Type_D_D"":""Gestion de l'eau"",""Commentaire"":""L’hôtel utilise des équipements sanitaires économes en eau et une couverture automatique pour la piscine afin de limiter les pertes thermiques et l’évaporation. Le chauffage de la piscine est assuré par une pompe à chaleur."",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,recd0bjcfRVLbyOCv,MA_EV_CHARGING,borne électrique (recharge VTT ou véhicule),D_Durable,"{""ID_D_D"":""8150c3bc"",""Object_id"":""recd0bjcfRVLbyOCv"",""Type_D_D"":""borne électrique (recharge VTT ou véhicule)"",""Commentaire"":"""",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,recd0bjcfRVLbyOCv,MA_COMMON_BINS,"Composte, panier gourmand anti-gaspillage",D_Durable,"{""ID_D_D"":""fd789863"",""Object_id"":""recd0bjcfRVLbyOCv"",""Type_D_D"":""Gestion des déchets"",""Commentaire"":""Composte, panier gourmand anti-gaspillage"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,recd0bjcfRVLbyOCv,MA_MONTHLY_ENERGY_READING,"Chauffe-Eau Solaire, éclairage extérieur solaire et led dans l'hôtel",D_Durable,"{""ID_D_D"":""e975ad12"",""Object_id"":""recd0bjcfRVLbyOCv"",""Type_D_D"":""Gestion de l'énergie"",""Commentaire"":""Chauffe-Eau Solaire, éclairage extérieur solaire et led dans l'hôtel"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,99434ac2,MA_FURNITURE_REUSE,Recyclage de papier,D_Durable,"{""ID_D_D"":""65f9f55d"",""Object_id"":""99434ac2"",""Type_D_D"":""Upcycling"",""Commentaire"":""Recyclage de papier"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,38bee07f,MA_MONTHLY_ENERGY_READING,Chauffe-eau solaire,D_Durable,"{""ID_D_D"":""12fdbe56"",""Object_id"":""38bee07f"",""Type_D_D"":""Gestion de l'énergie"",""Commentaire"":""Chauffe-eau solaire"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,38bee07f,MA_COMMON_BINS,Tri sélectif,D_Durable,"{""ID_D_D"":""3e7cae51"",""Object_id"":""38bee07f"",""Type_D_D"":""Gestion des déchets"",""Commentaire"":""Tri sélectif"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,9a8f7c6d,MA_COMMON_BINS,Compostage et poulailler (déchets alimentaires),D_Durable,"{""ID_D_D"":""06ba2d88"",""Object_id"":""9a8f7c6d"",""Type_D_D"":""Gestion des déchets"",""Commentaire"":""Compostage et poulailler (déchets alimentaires)"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,9a8f7c6d,MA_COMMON_BINS,Tri sélectif,D_Durable,"{""ID_D_D"":""61d500c5"",""Object_id"":""9a8f7c6d"",""Type_D_D"":""Gestion des déchets"",""Commentaire"":""Tri sélectif"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,9a8f7c6d,MA_ONSITE_COMPOST,compostage,D_Durable,"{""ID_D_D"":""e34d56c9"",""Object_id"":""9a8f7c6d"",""Type_D_D"":""recyclage des végétaux"",""Commentaire"":""compostage"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,9a8f7c6d,MA_LOCAL_SUPPLIER_LIST,choix de fournisseurs locaux dès que possible et produits péi,D_Durable,"{""ID_D_D"":""0abb4bd6"",""Object_id"":""9a8f7c6d"",""Type_D_D"":""Produits en circuit court"",""Commentaire"":""choix de fournisseurs locaux dès que possible et produits péi"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,38bee07f,MA_ONSITE_COMPOST,compostage,D_Durable,"{""ID_D_D"":""6fc4568f"",""Object_id"":""38bee07f"",""Type_D_D"":""recyclage des végétaux"",""Commentaire"":""compostage"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,a311fc46,MA_COMMON_BINS,"Tri des déchets disponible dans la maison : compost, verre, poubelle jaune",D_Durable,"{""ID_D_D"":""41884c4e"",""Object_id"":""a311fc46"",""Type_D_D"":""Gestion des déchets"",""Commentaire"":""Tri des déchets disponible dans la maison : compost, verre, poubelle jaune"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,a311fc46,MA_ONTRIP_BRIEFING,dispose d'un livret d'accueil avec des éléments de sensibilisation à la protection de l'environnement,D_Durable,"{""ID_D_D"":""b8723b14"",""Object_id"":""a311fc46"",""Type_D_D"":""Sensibilisation de la clientèle"",""Commentaire"":""dispose d'un livret d'accueil avec des éléments de sensibilisation à la protection de l'environnement"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,a311fc46,MA_MONTHLY_ENERGY_READING,Panneaux photovoltaïque et chauffe eau solaire,D_Durable,"{""ID_D_D"":""f96edc5e"",""Object_id"":""a311fc46"",""Type_D_D"":""Gestion de l'énergie"",""Commentaire"":""Panneaux photovoltaïque et chauffe eau solaire"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,a311fc46,MA_WATER_READING,"Récupération de l'eau de pluie pour le jardin, chasse d'eau éco, cuisine équipée de robinet à double débit",D_Durable,"{""ID_D_D"":""d0ba7bc0"",""Object_id"":""a311fc46"",""Type_D_D"":""Gestion de l'eau"",""Commentaire"":""Récupération de l'eau de pluie pour le jardin, chasse d'eau éco, cuisine équipée de robinet à double débit"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,a311fc46,MA_ORGANIC_PRODUCTS,"Produits bio à dispo des clients : produit vaisselle et lave-vaisselle, produits ménagers, savon bio",D_Durable,"{""ID_D_D"":""5fcedc8d"",""Object_id"":""a311fc46"",""Type_D_D"":""Produits labellisés bio"",""Commentaire"":""Produits bio à dispo des clients : produit vaisselle et lave-vaisselle, produits ménagers, savon bio"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,a311fc46,MA_MONTHLY_ENERGY_READING,"Pas de climatiseurs, la structure dispose de brasseurs d'air",D_Durable,"{""ID_D_D"":""54b9c9ab"",""Object_id"":""a311fc46"",""Type_D_D"":""Gestion de l'énergie"",""Commentaire"":""Pas de climatiseurs, la structure dispose de brasseurs d'air"",""source_system"":""berta_v2_csv_export""}",review_required,false
