Id_Tarifs,Object_id,Description,Tarif Montant,Tarif libellé,,Mini
374bc049,d05d63f5,,40,pers.,,
9035ccf3,recm2AoRWbJBnq4SK,par nuit,156,,,À partir de
2a21747f,recM9zD9bItWPAN6l,à partir de 2 nuits,150,chambre double,,À partir de
05d28f56,recYmMvc9ZyLrLrZ6,par nuit,18,,,À partir de
b1d2829d,6063b8b1,,600,semaine,,
a5d1137e,rec153kqdkp8MR6eW,,10,,,À partir de
16fd587a,ebb42bed,,650,week-end,,
89d446eb,0615faa3,,79,nuit,,À partir de
ec3fe688,eb2505c0,,50,pers./nuit,,À partir de
0babcae1,7949ab8c,petit-déjeuner,50,pers./nuit,,À partir de
0f497daa,6a249061,,45,nuit,,
,,,,,,
9ba99f30,71ec2925,,90,,,À partir de
fda27e02,0CEB5E626E,,,,,
5934e00d,d730c38c,Maximum 6 personnes,270,week-end,,
31d6f634,recdYDKpysnem09GC,,95,nuit,,
87a30ea7,rec4Sp1Kc7fr9A3H4,,32,repas,,À partir de
eacfca3b,d9f1c7dd,,30,,,À partir de
3ce072e1,rec8MEwXzZOyroHld,à partir de 2 nuits,75,chambre double avec petit déjeuner/nuit,,
5d2bd5a0,rec8MEwXzZOyroHld,à partir de 2 nuits,70,chambre simple avec petit-déjeuner/nuit,,
99e5b104,rec8V96z3M3TU00Ae,à partir de 2 nuits,58,chambre double,,À partir de
4593ce11,rec8V96z3M3TU00Ae,Repas,19,,,À partir de
24b755ab,9239e8d7,,91,chambre double/nuit,,
"4495e0fe,rec7PV8VcVqwUZH52,de 5 à 11 ans,""3,5"",enfant,,"
"2e4d6a5f,rec7PV8VcVqwUZH52,Adulte,""5,5"",pers.,,"
f0a88c2d,recZYCbaJbEYDPyJv,/semaine pour 2 personnes,340,,,À partir de
555c1fb7,recZYCbaJbEYDPyJv,/semaine pour 4 personnes,600,,,À partir de
18f7d58f,recZYCbaJbEYDPyJv,par nuit,115,,,À partir de
12741d3c,recZYCbaJbEYDPyJv,/nuit pour 2 personnes,60,,,À partir de
c28c2634,a7e5176b,,1400,semaine,,À partir de
cc73ec92,4f324b40,à partir de 5 nuits,95,bungalow/nuit,,À partir de
ffcdc74a,95b72d6a,,800,semaine,,
9ec631cd,95b72d6a,,500,week-end,,
6d66ee22,595f03c0,,350,week-end,,
d18ad88d,90d57727,,90,chambre double/nuit,,
8bf96c0b,ca79be2b,pour 10 personnes,600,week-end,,
01d9fcc7,0fcf57e0,à partir de 3 nuits pour 4 personnes,140,nuit,,À partir de
f9619a18,02f9f539,à partir de 3 nuits pour 4 personnes,140,bungalow/nuit,,À partir de
dd771a6f,754604a0,par nuit,85,bungalow,,À partir de
df31f4b4,0dc15fb6,,5,article,,
467ccfc1,recnrwOK2ZcOdiQDq,Repas,32,pers.,,À partir de
78021a47,e394dc72,par nuit,105,chambre double avec petit déjeuner,,
e0fff956,recsMK9lTsyDsnNal,par nuit,25,pers.,,
7c75f72c,rectgw5U8BugwUIyW,à partir de 7 nuits,65,bungalow/nuit,,
6c8efc76,rec2VkaNFgTUZQarj,à partir de 7 nuits,48,bungalow/nuit,,
acec8d12,recSXg93snF86tra4,,6,repas/article/produit,,
,,,,,,
da182f94,9d4ae3ec,,85,pers.,,
23b81b6e,recBwIkZXrkiVim1Q,,9,repas,,À partir de
"259d1edc,recQLIS5lMhCC9Bjz,Le café,""1,7"",article,,"
5503a8a8,recmBT3F3xQsKoKUc,Maximum 6 personnes,199,,,À partir de
e619951d,recUu7UCrEm9QqdId,,16,,,À partir de
2126582d,ceb8cd52,Adulte,35,pers.,,
a502e9c7,recPl1VWjwSujgCer,,90,pers.,,À partir de
d4c58699,recygdEueaTEjr8Nu,,60,pers.,,
4b2d18a9,recR9kjiaOAoduSpN,,80,chambre double avec petit déjeuner,,
475f06c6,recR9kjiaOAoduSpN,Maximum 6 personnes,90,chambre familiale avec petit-déjeuner,,À partir de
8a6ffe02,1402749d,par nuit,60,studio,,
58baf055,1402749d,à partir de 2 nuits,50,studio,,
66d79859,reciW2UlshxpoToFm,,45,,,À partir de
2b8a40d9,recwJL4wMZc8BUN4B,,7,,,À partir de
cb787f8e,recwhRDfmwSLBFmGp,,50,,,À partir de
3347a283,rechmcunWsnk7RIUK,,5,pers.,,À partir de
76924f2c,recm363jik6qQvAIJ,,115,pers./nuit,,À partir de
50844c4e,recAUYluxAfp1ft4c,,60,,,À partir de
392a45cf,recfcEj0VScC9avif,/semaine pour 2 personnes,350,semaine,,À partir de
43995cbb,recfcEj0VScC9avif,à partir de 2 nuits,75,chambre double/nuit,,À partir de
60f5acfd,recEqFurEd2CSBjqg,à partir de 2 nuits,55,chambre double/nuit,,À partir de
183c6e97,recEqFurEd2CSBjqg,,235,chambre double/semaine,,À partir de
ba3724fa,recHEZWTMQ8a9lBp5,,60,pers./nuit,,
5cdfe9b6,3a3f3d60,,140,chambre double/nuit,,À partir de
"bd926df4,recMMMvP8mGoaRGgO,la minute,""0,27"",,,À partir de"
58552bd7,recpWLGMBuY5J6L6j,/semaine pour 2 personnes,250,semaine,,À partir de
a553e3e6,recsH7mY4eboRjWUR,,5,,,À partir de
da2248f0,recqN19d2eJTgPzZy,,50,pers.,,
d7a30805,recqN19d2eJTgPzZy,,35,enfant,,
f2fe0743,recqN19d2eJTgPzZy,à partir de 5 personnes,45,pers.,,
3184a444,4a530b6e,,370,bungalow/week-end,,À partir de
cc2e0ee6,4a530b6e,,650,bungalow/semaine,,
1e7e42a7,92c88920,,125,bungalow/week-end/nuit,,À partir de
914e1b2e,92c88920,,90,bungalow/semaine/nuit,,À partir de
45da3b9e,53c685de,,90,bungalow/semaine/nuit,,À partir de
a7d2b347,53c685de,,125,bungalow/week-end/nuit,,À partir de
5e74c9fe,e270df62,4 personnes,800,semaine,,
b6d439ca,05E89ADE3E,,200,bungalow/nuit,,
5a710283,recK7OqJ0GoZM2zxL,visite libre,7,pers.,,
"db28f034,recK7OqJ0GoZM2zxL,Enfants,""6,5"",enfant,,"
66a6bf7b,recK7OqJ0GoZM2zxL,visite guidée,10,pers.,,
38cb6c56,b7f612c9,,85,nuit,,
f8949539,recB2JTuDBL25FrkJ,,110,,,À partir de
d982a8a7,recSWQkXd82Rx7EWA,,55,pers.,,À partir de
097589d4,recGIk7nWQkpYIgSf,maximum 10 personnes,65,nuit,,À partir de
023d8ebc,recAz79tqNPNUQNYF,,10,enfant,,À partir de
