feed,scope,collection,name,type,declared,observed,count,non_empty,empty,coverage_pct
decouverte,relation,ClassificationSousCategoriePatNaturels,SyndicObjectId,Edm.String,True,True,1,1,0,100.0
decouverte,relation,ClassificationSousCategoriePatNaturels,ThesCode,Edm.String,True,True,1,1,0,100.0
decouverte,relation,ClassificationSousCategoriePatNaturels,ThesID,Edm.Guid,True,True,1,1,0,100.0
decouverte,relation,ClassificationSousCategoriePatNaturels,ThesLibelle,Edm.String,True,True,1,1,0,100.0
decouverte,relation,ClassificationSousCategoriePatNaturels,ThesOrdre,Edm.Int64,True,True,1,1,0,100.0
decouverte,relation,ClassificationSousCategoriePatNaturels,ThesPicto,Edm.String,True,True,1,0,1,0.0
decouverte,relation,ClassificationSousCategorieTerroirs,ID,Edm.Int64,True,True,29,29,0,100.0
decouverte,relation,ClassificationSousCategorieTerroirs,Ordre,Edm.Int64,True,True,29,29,0,100.0
decouverte,relation,ClassificationSousCategorieTerroirs,SyndicObjectId,Edm.String,True,True,29,29,0,100.0
decouverte,relation,ClassificationSousCategorieTerroirs,ThesCode,Edm.String,True,True,29,29,0,100.0
decouverte,relation,ClassificationSousCategorieTerroirs,ThesID,Edm.Guid,True,True,29,29,0,100.0
decouverte,relation,ClassificationSousCategorieTerroirs,ThesLibelle,Edm.String,True,True,29,29,0,100.0
decouverte,relation,ClassificationSousCategorieTerroirs,ThesOrdre,Edm.Int64,True,True,29,29,0,100.0
decouverte,relation,ClassificationSousCategorieTerroirs,ThesPicto,Edm.String,True,True,29,0,29,0.0
decouverte,relation,Descriptifaccess,Descriptifduplandacces,Edm.String,True,True,49,21,28,42.9
decouverte,relation,Descriptifaccess,ID,Edm.Int64,True,True,49,49,0,100.0
decouverte,relation,Descriptifaccess,Ordre,Edm.Int64,True,True,49,49,0,100.0
decouverte,relation,Descriptifaccess,SyndicObjectId,Edm.String,True,True,49,49,0,100.0
decouverte,relation,Descriptifss,Accroche,Edm.String,True,True,3,2,1,66.7
decouverte,relation,Descriptifss,Descriptioncommerciale,Edm.String,True,True,3,2,1,66.7
decouverte,relation,Descriptifss,ID,Edm.Int64,True,True,3,3,0,100.0
decouverte,relation,Descriptifss,Ordre,Edm.Int64,True,True,3,3,0,100.0
decouverte,relation,Descriptifss,SyndicObjectId,Edm.String,True,True,3,3,0,100.0
decouverte,relation,Fichiers,DocumentFichier.Credit,Edm.String,True,False,0,0,0,0
decouverte,relation,Fichiers,DocumentFichier.MediaID,Edm.Guid,True,False,0,0,0,0
decouverte,relation,Fichiers,DocumentFichier.Titre,Edm.String,True,False,0,0,0,0
decouverte,relation,Fichiers,DocumentFichier.Url,Edm.String,True,False,0,0,0,0
decouverte,relation,Fichiers,ID,Edm.Int64,True,False,0,0,0,0
decouverte,relation,Fichiers,Ordre,Edm.Int64,True,False,0,0,0,0
decouverte,relation,Fichiers,SyndicObjectId,Edm.String,True,False,0,0,0,0
decouverte,relation,Handicaps,ID,Edm.Int64,True,False,0,0,0,0
decouverte,relation,Handicaps,Ordre,Edm.Int64,True,False,0,0,0,0
decouverte,relation,Handicaps,SyndicObjectId,Edm.String,True,False,0,0,0,0
decouverte,relation,Handicaps,ThesCode,Edm.String,True,False,0,0,0,0
decouverte,relation,Handicaps,ThesID,Edm.Guid,True,False,0,0,0,0
decouverte,relation,Handicaps,ThesLibelle,Edm.String,True,False,0,0,0,0
decouverte,relation,Handicaps,ThesOrdre,Edm.Int32,True,False,0,0,0,0
decouverte,relation,Handicaps,ThesPicto,Edm.String,True,False,0,0,0,0
decouverte,relation,Labels,ID,Edm.Int64,True,True,5,5,0,100.0
decouverte,relation,Labels,Ordre,Edm.Int64,True,True,5,5,0,100.0
decouverte,relation,Labels,SyndicObjectId,Edm.String,True,True,5,5,0,100.0
decouverte,relation,Labels,ThesCode,Edm.String,True,True,5,5,0,100.0
decouverte,relation,Labels,ThesID,Edm.Guid,True,True,5,5,0,100.0
decouverte,relation,Labels,ThesLibelle,Edm.String,True,True,5,5,0,100.0
decouverte,relation,Labels,ThesOrdre,Edm.Int64,True,True,5,5,0,100.0
decouverte,relation,Labels,ThesPicto,Edm.String,True,True,5,0,5,0.0
decouverte,relation,LanguesParleess,ID,Edm.Int64,True,True,95,95,0,100.0
decouverte,relation,LanguesParleess,Ordre,Edm.Int64,True,True,95,95,0,100.0
decouverte,relation,LanguesParleess,SyndicObjectId,Edm.String,True,True,95,95,0,100.0
decouverte,relation,LanguesParleess,ThesCode,Edm.String,True,True,95,95,0,100.0
decouverte,relation,LanguesParleess,ThesID,Edm.Guid,True,True,95,95,0,100.0
decouverte,relation,LanguesParleess,ThesLibelle,Edm.String,True,True,95,95,0,100.0
decouverte,relation,LanguesParleess,ThesOrdre,Edm.Int64,True,True,95,95,0,100.0
decouverte,relation,LanguesParleess,ThesPicto,Edm.String,True,True,95,0,95,0.0
decouverte,relation,Localisations,ID,Edm.Int64,True,True,36,36,0,100.0
decouverte,relation,Localisations,Ordre,Edm.Int64,True,True,36,36,0,100.0
decouverte,relation,Localisations,SyndicObjectId,Edm.String,True,True,36,36,0,100.0
decouverte,relation,Localisations,ThesCode,Edm.String,True,True,36,36,0,100.0
decouverte,relation,Localisations,ThesID,Edm.Guid,True,True,36,36,0,100.0
decouverte,relation,Localisations,ThesLibelle,Edm.String,True,True,36,36,0,100.0
decouverte,relation,Localisations,ThesOrdre,Edm.Int64,True,True,36,36,0,100.0
decouverte,relation,Localisations,ThesPicto,Edm.String,True,True,36,0,36,0.0
decouverte,relation,Marques,ID,Edm.Int64,True,True,5,5,0,100.0
decouverte,relation,Marques,Ordre,Edm.Int64,True,True,5,5,0,100.0
decouverte,relation,Marques,SyndicObjectId,Edm.String,True,True,5,5,0,100.0
decouverte,relation,ModesPaiements,ID,Edm.Int64,True,True,110,110,0,100.0
decouverte,relation,ModesPaiements,Ordre,Edm.Int64,True,True,110,110,0,100.0
decouverte,relation,ModesPaiements,SyndicObjectId,Edm.String,True,True,110,110,0,100.0
decouverte,relation,ModesPaiements,ThesCode,Edm.String,True,True,110,110,0,100.0
decouverte,relation,ModesPaiements,ThesID,Edm.Guid,True,True,110,110,0,100.0
decouverte,relation,ModesPaiements,ThesLibelle,Edm.String,True,True,110,110,0,100.0
decouverte,relation,ModesPaiements,ThesOrdre,Edm.Int64,True,True,110,110,0,100.0
decouverte,relation,ModesPaiements,ThesPicto,Edm.String,True,True,110,0,110,0.0
decouverte,relation,Moyencommunications,Complementdinformations,Edm.String,True,True,139,0,139,0.0
decouverte,relation,Moyencommunications,Coordonnees,Edm.String,True,True,139,135,4,97.1
decouverte,relation,Moyencommunications,ID,Edm.Int64,True,True,139,139,0,100.0
decouverte,relation,Moyencommunications,Moyendecommunication,TourInSoft.V5.Syndication.Syndication_FSDECOUVERTEOTISud_428EC9B6BEE14C85B372B15969FB2A19.ListeComplexType,False,True,8,0,8,0.0
decouverte,relation,Moyencommunications,Moyendecommunication.ThesCode,Edm.String,True,True,131,131,0,100.0
decouverte,relation,Moyencommunications,Moyendecommunication.ThesID,Edm.Guid,True,True,131,131,0,100.0
decouverte,relation,Moyencommunications,Moyendecommunication.ThesLibelle,Edm.String,True,True,131,131,0,100.0
decouverte,relation,Moyencommunications,Moyendecommunication.ThesOrdre,Edm.Int32,True,True,131,131,0,100.0
decouverte,relation,Moyencommunications,Moyendecommunication.ThesPicto,Edm.String,True,True,131,0,131,0.0
decouverte,relation,Moyencommunications,Ordre,Edm.Int64,True,True,139,139,0,100.0
decouverte,relation,Moyencommunications,SyndicObjectId,Edm.String,True,True,139,139,0,100.0
decouverte,relation,Moyencommunications,Typedecoordonnees.ThesCode,Edm.String,True,True,139,139,0,100.0
decouverte,relation,Moyencommunications,Typedecoordonnees.ThesID,Edm.Guid,True,True,139,139,0,100.0
decouverte,relation,Moyencommunications,Typedecoordonnees.ThesLibelle,Edm.String,True,True,139,139,0,100.0
decouverte,relation,Moyencommunications,Typedecoordonnees.ThesOrdre,Edm.Int32,True,True,139,139,0,100.0
decouverte,relation,Moyencommunications,Typedecoordonnees.ThesPicto,Edm.String,True,True,139,0,139,0.0
decouverte,relation,PeriodeOuvertures,Datedebut,Edm.DateTime,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,Datefin,Edm.DateTime,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,dimancheheuredebut1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,dimancheheuredebut2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,dimancheheurefin1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,dimancheheurefin2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,heuredebut1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,heuredebut2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,heurefin1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,heurefin2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,ID,Edm.Int64,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,jeudiheuredebut1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,jeudiheuredebut2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,jeudiheurefin1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,jeudiheurefin2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,lundiheuredebut1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,lundiheuredebut2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,lundiheurefin1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,lundiheurefin2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,mardiheuredebut1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,mardiheuredebut2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,mardiheurefin1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,mardiheurefin2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,mercrediheuredebut1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,mercrediheuredebut2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,mercrediheurefin1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,mercrediheurefin2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,Ordre,Edm.Int64,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,Precisionssurlesfermetures,Edm.String,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,Precisionssurlesouvertures,Edm.String,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,samediheuredebut1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,samediheuredebut2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,samediheurefin1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,samediheurefin2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,SyndicObjectId,Edm.String,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,vendrediheuredebut1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,vendrediheuredebut2,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,vendrediheurefin1,Edm.Time,True,False,0,0,0,0
decouverte,relation,PeriodeOuvertures,vendrediheurefin2,Edm.Time,True,False,0,0,0,0
decouverte,relation,Photos,Datedefindutilisation,Edm.DateTime,True,True,293,0,293,0.0
decouverte,relation,Photos,ID,Edm.Int64,True,True,293,293,0,100.0
decouverte,relation,Photos,Licencecreativecommons,Edm.Boolean,True,True,293,0,293,0.0
decouverte,relation,Photos,Ordre,Edm.Int64,True,True,293,293,0,100.0
decouverte,relation,Photos,Photo.Credit,Edm.String,True,True,293,293,0,100.0
decouverte,relation,Photos,Photo.MediaID,Edm.Guid,True,True,293,293,0,100.0
decouverte,relation,Photos,Photo.Titre,Edm.String,True,True,293,293,0,100.0
decouverte,relation,Photos,Photo.Url,Edm.String,True,True,293,293,0,100.0
decouverte,relation,Photos,SyndicObjectId,Edm.String,True,True,293,293,0,100.0
decouverte,relation,PrestationProximites,ID,Edm.Int64,True,True,37,37,0,100.0
decouverte,relation,PrestationProximites,Ordre,Edm.Int64,True,True,37,37,0,100.0
decouverte,relation,PrestationProximites,SyndicObjectId,Edm.String,True,True,37,37,0,100.0
decouverte,relation,PrestationProximites,ThesCode,Edm.String,True,True,37,37,0,100.0
decouverte,relation,PrestationProximites,ThesID,Edm.Guid,True,True,37,37,0,100.0
decouverte,relation,PrestationProximites,ThesLibelle,Edm.String,True,True,37,37,0,100.0
decouverte,relation,PrestationProximites,ThesOrdre,Edm.Int64,True,True,37,37,0,100.0
decouverte,relation,PrestationProximites,ThesPicto,Edm.String,True,True,37,0,37,0.0
decouverte,relation,PrestationsActivites,ID,Edm.Int64,True,True,1,1,0,100.0
decouverte,relation,PrestationsActivites,Ordre,Edm.Int64,True,True,1,1,0,100.0
decouverte,relation,PrestationsActivites,SyndicObjectId,Edm.String,True,True,1,1,0,100.0
decouverte,relation,PrestationsActivites,ThesCode,Edm.String,True,True,1,1,0,100.0
decouverte,relation,PrestationsActivites,ThesID,Edm.Guid,True,True,1,1,0,100.0
decouverte,relation,PrestationsActivites,ThesLibelle,Edm.String,True,True,1,1,0,100.0
decouverte,relation,PrestationsActivites,ThesOrdre,Edm.Int64,True,True,1,1,0,100.0
decouverte,relation,PrestationsActivites,ThesPicto,Edm.String,True,True,1,0,1,0.0
decouverte,relation,PrestationsEquipementss,ID,Edm.Int64,True,True,25,25,0,100.0
decouverte,relation,PrestationsEquipementss,Ordre,Edm.Int64,True,True,25,25,0,100.0
decouverte,relation,PrestationsEquipementss,SyndicObjectId,Edm.String,True,True,25,25,0,100.0
decouverte,relation,PrestationsEquipementss,ThesCode,Edm.String,True,True,25,25,0,100.0
decouverte,relation,PrestationsEquipementss,ThesID,Edm.Guid,True,True,25,25,0,100.0
decouverte,relation,PrestationsEquipementss,ThesLibelle,Edm.String,True,True,25,25,0,100.0
decouverte,relation,PrestationsEquipementss,ThesOrdre,Edm.Int64,True,True,25,25,0,100.0
decouverte,relation,PrestationsEquipementss,ThesPicto,Edm.String,True,True,25,0,25,0.0
decouverte,relation,Reservations,ID,Edm.Int64,True,True,7,7,0,100.0
decouverte,relation,Reservations,Lien,Edm.String,True,True,7,7,0,100.0
decouverte,relation,Reservations,Listeplateforme.ThesCode,Edm.String,True,True,7,7,0,100.0
decouverte,relation,Reservations,Listeplateforme.ThesID,Edm.Guid,True,True,7,7,0,100.0
decouverte,relation,Reservations,Listeplateforme.ThesLibelle,Edm.String,True,True,7,7,0,100.0
decouverte,relation,Reservations,Listeplateforme.ThesOrdre,Edm.Int32,True,True,7,7,0,100.0
decouverte,relation,Reservations,Listeplateforme.ThesPicto,Edm.String,True,True,7,0,7,0.0
decouverte,relation,Reservations,Ordre,Edm.Int64,True,True,7,7,0,100.0
decouverte,relation,Reservations,SyndicObjectId,Edm.String,True,True,7,7,0,100.0
decouverte,relation,Structure,Address1,Edm.String,True,True,49,49,0,100.0
decouverte,relation,Structure,Address2,Edm.String,True,True,49,0,49,0.0
decouverte,relation,Structure,Address3,Edm.String,True,True,49,0,49,0.0
decouverte,relation,Structure,City,Edm.String,True,True,49,49,0,100.0
decouverte,relation,Structure,Country,Edm.String,True,True,49,0,49,0.0
decouverte,relation,Structure,Email,Edm.String,True,True,49,49,0,100.0
decouverte,relation,Structure,EmailName,Edm.String,True,True,49,0,49,0.0
decouverte,relation,Structure,Name,Edm.String,True,True,49,49,0,100.0
decouverte,relation,Structure,Phone,Edm.String,True,True,49,0,49,0.0
decouverte,relation,Structure,Postcode,Edm.String,True,True,49,49,0,100.0
decouverte,relation,Structure,SyndicStructureId,Edm.Guid,True,True,49,49,0,100.0
decouverte,relation,Structure,Url,Edm.String,True,True,49,0,49,0.0
decouverte,relation,Tarifs,complementtarifs,Edm.String,True,True,6,3,3,50.0
decouverte,relation,Tarifs,Datedebutaffichage,Edm.DateTime,True,True,6,3,3,50.0
decouverte,relation,Tarifs,Datedebutvalidite,Edm.DateTime,True,True,6,0,6,0.0
decouverte,relation,Tarifs,Datefinaffichage,Edm.DateTime,True,True,6,0,6,0.0
decouverte,relation,Tarifs,Datefinvalidite,Edm.DateTime,True,True,6,0,6,0.0
