feed,path,scope,collection,name,edm_type,declared,observed,observed_count,non_empty_count,empty_count,coverage_pct,present_in_feed_count,reuse_class,coverage_status,mapping_status,evidence
decouverte,Chaines.Reseaux.ThesID,relation,Chaines,Reseaux.ThesID,Edm.Guid,True,False,0,0,0,0,5,shared,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Chaines.Reseaux.ThesLibelle,relation,Chaines,Reseaux.ThesLibelle,Edm.String,True,False,0,0,0,0,5,shared,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Chaines.Reseaux.ThesOrdre,relation,Chaines,Reseaux.ThesOrdre,Edm.Int32,True,False,0,0,0,0,5,shared,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Chaines.Reseaux.ThesPicto,relation,Chaines,Reseaux.ThesPicto,Edm.String,True,False,0,0,0,0,5,shared,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Chaines.SyndicObjectId,relation,Chaines,SyndicObjectId,Edm.String,True,True,3,3,0,100.0,5,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationCategories.ID,relation,ClassificationCategories,ID,Edm.Int64,True,True,52,52,0,100.0,3,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationCategories.Ordre,relation,ClassificationCategories,Ordre,Edm.Int64,True,True,52,52,0,100.0,3,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationCategories.SyndicObjectId,relation,ClassificationCategories,SyndicObjectId,Edm.String,True,True,52,52,0,100.0,3,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationCategories.ThesCode,relation,ClassificationCategories,ThesCode,Edm.String,True,True,52,52,0,100.0,3,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationCategories.ThesID,relation,ClassificationCategories,ThesID,Edm.Guid,True,True,52,52,0,100.0,3,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationCategories.ThesLibelle,relation,ClassificationCategories,ThesLibelle,Edm.String,True,True,52,52,0,100.0,3,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationCategories.ThesOrdre,relation,ClassificationCategories,ThesOrdre,Edm.Int64,True,True,52,52,0,100.0,3,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationCategories.ThesPicto,relation,ClassificationCategories,ThesPicto,Edm.String,True,True,52,0,52,0.0,3,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieArts.ID,relation,ClassificationSousCategorieArts,ID,Edm.Int64,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieArts.Ordre,relation,ClassificationSousCategorieArts,Ordre,Edm.Int64,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieArts.SyndicObjectId,relation,ClassificationSousCategorieArts,SyndicObjectId,Edm.String,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieArts.ThesCode,relation,ClassificationSousCategorieArts,ThesCode,Edm.String,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieArts.ThesID,relation,ClassificationSousCategorieArts,ThesID,Edm.Guid,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieArts.ThesLibelle,relation,ClassificationSousCategorieArts,ThesLibelle,Edm.String,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieArts.ThesOrdre,relation,ClassificationSousCategorieArts,ThesOrdre,Edm.Int32,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieArts.ThesPicto,relation,ClassificationSousCategorieArts,ThesPicto,Edm.String,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
