schema,table_name,policy_name,command,permissive,roles,qual,with_check
public,ref_code_demand_subtopic,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_demand_subtopic,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_demand_topic,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_demand_topic,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_destination_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_destination_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_dietary_tag,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_dietary_tag,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_document_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_document_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_domain_registry,Lecture publique du registre ref_code,SELECT,PERMISSIVE,public,true,
public,ref_code_environment_tag,Lecture publique des tags d'environnement,SELECT,PERMISSIVE,public,true,
public,ref_code_environment_tag,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_environment_tag,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
