schema,table_name,index_name,is_unique,is_primary,is_partial,method,index_def
public,crm_task,idx_crm_task_status,f,f,f,btree,CREATE INDEX idx_crm_task_status ON public.crm_task USING btree (status)
public,i18n_translation,i18n_translation_pkey,t,t,f,btree,CREATE UNIQUE INDEX i18n_translation_pkey ON public.i18n_translation USING btree (id)
public,i18n_translation,idx_i18n_translation_column_language,f,f,f,btree,"CREATE INDEX idx_i18n_translation_column_language ON public.i18n_translation USING btree (target_table, target_column, language_id)"
public,i18n_translation,idx_i18n_translation_target,f,f,f,btree,"CREATE INDEX idx_i18n_translation_target ON public.i18n_translation USING btree (target_table, target_pk)"
public,i18n_translation,uq_i18n_translation,t,f,f,btree,"CREATE UNIQUE INDEX uq_i18n_translation ON public.i18n_translation USING btree (target_table, target_pk, target_column, language_id)"
public,incident_report,idx_incident_report_category,f,f,f,btree,CREATE INDEX idx_incident_report_category ON public.incident_report USING btree (category_id)
public,incident_report,idx_incident_report_created_at,f,f,f,btree,CREATE INDEX idx_incident_report_created_at ON public.incident_report USING btree (created_at DESC)
public,incident_report,idx_incident_report_geom,f,f,f,gist,CREATE INDEX idx_incident_report_geom ON public.incident_report USING gist (geom)
public,incident_report,idx_incident_report_object_status,f,f,f,btree,"CREATE INDEX idx_incident_report_object_status ON public.incident_report USING btree (object_id, status)"
public,incident_report,incident_report_pkey,t,t,f,btree,CREATE UNIQUE INDEX incident_report_pkey ON public.incident_report USING btree (id)
public,media,idx_media_analyse_data,f,f,f,gin,CREATE INDEX idx_media_analyse_data ON public.media USING gin (analyse_data)
public,media,idx_media_description_normalized_trgm,f,f,f,gin,CREATE INDEX idx_media_description_normalized_trgm ON public.media USING gin (description_normalized gin_trgm_ops)
public,media,idx_media_is_main,f,f,f,btree,CREATE INDEX idx_media_is_main ON public.media USING btree (is_main)
public,media,idx_media_is_published,f,f,f,btree,CREATE INDEX idx_media_is_published ON public.media USING btree (is_published)
public,media,idx_media_media_type_id,f,f,f,btree,CREATE INDEX idx_media_media_type_id ON public.media USING btree (media_type_id)
public,media,idx_media_object_id,f,f,f,btree,CREATE INDEX idx_media_object_id ON public.media USING btree (object_id)
public,media,idx_media_object_org,f,f,t,btree,"CREATE INDEX idx_media_object_org ON public.media USING btree (object_id, org_object_id) WHERE (org_object_id IS NOT NULL)"
public,media,idx_media_org_object_id,f,f,t,btree,CREATE INDEX idx_media_org_object_id ON public.media USING btree (org_object_id) WHERE (org_object_id IS NOT NULL)
public,media,idx_media_place_id,f,f,f,btree,CREATE INDEX idx_media_place_id ON public.media USING btree (place_id)
public,media,idx_media_published_org,f,f,t,btree,"CREATE INDEX idx_media_published_org ON public.media USING btree (object_id, org_object_id, is_main, ""position"") WHERE (is_published = true)"
public,media,idx_media_rights_expires_at,f,f,f,btree,CREATE INDEX idx_media_rights_expires_at ON public.media USING btree (rights_expires_at)
